,country_life,Year,liver_death,country_pop,LifeExpectancy,Region,Country Name,Indicator Name,Pop
522,Singapore,1991,0.005194891925057423,Singapore,78.9,East Asia & Pacific,Singapore,"Population, female",1557299.0
523,Solomon Islands,1991,0.002557462791800736,Solomon Islands,65.9,East Asia & Pacific,Solomon Islands,"Population, female",156014.0
524,Sierra Leone,1991,0.005408456644629857,Sierra Leone,38.2,Sub-Saharan Africa,Sierra Leone,"Population, female",2200258.0
525,El Salvador,1991,0.003140592264575178,El Salvador,70.3,Latin America & Caribbean,El Salvador,"Population, female",2738337.0
526,Somalia,1991,0.0031480877024096126,Somalia,46.9,Sub-Saharan Africa,Somalia,"Population, female",3621246.0
527,Serbia,1991,0.0071737652286559695,Serbia,74.6,Europe & Central Asia,Serbia,"Population, female",3847352.0
528,South Sudan,1991,0.002520206590908841,South Sudan,46.3,Sub-Saharan Africa,South Sudan,"Population, female",2725967.0
529,Sao Tome and Principe,1991,0.0009401543149841145,Sao Tome and Principe,60.1,Sub-Saharan Africa,Sao Tome and Principe,"Population, female",61692.0
530,Suriname,1991,0.0044707921377082765,Suriname,71.0,Latin America & Caribbean,Suriname,"Population, female",203096.0
531,Slovak Republic,1991,0.0043071173457555016,Slovak Republic,75.8,Europe & Central Asia,Slovak Republic,"Population, female",2716434.0
532,Slovenia,1991,0.003899996693269637,Slovenia,77.5,Europe & Central Asia,Slovenia,"Population, female",1028206.0
533,Sweden,1991,0.006605319759401228,Sweden,80.8,Europe & Central Asia,Sweden,"Population, female",4360122.0
534,Eswatini,1991,0.0023161786200972347,Eswatini,63.2,Sub-Saharan Africa,Eswatini,"Population, female",444698.0
535,Seychelles,1991,0.001472837478049057,Seychelles,75.8,Sub-Saharan Africa,Seychelles,"Population, female",35306.0
536,Syrian Arab Republic,1991,0.0014520538907705088,Syrian Arab Republic,72.8,Middle East & North Africa,Syrian Arab Republic,"Population, female",6335853.0
537,Chad,1991,0.005867167331612298,Chad,48.4,Sub-Saharan Africa,Chad,"Population, female",3102008.0
538,Togo,1991,0.006738874730445011,Togo,56.7,Sub-Saharan Africa,Togo,"Population, female",1958784.0
539,Thailand,1991,0.0108050200538748,Thailand,73.7,East Asia & Pacific,Thailand,"Population, female",28875467.0
540,Tajikistan,1991,0.002532178699048173,Tajikistan,61.1,Europe & Central Asia,Tajikistan,"Population, female",2720977.0
541,Turkmenistan,1991,0.0023208722741433025,Turkmenistan,66.6,Europe & Central Asia,Turkmenistan,"Population, female",1926000.0
542,Timor-Leste,1991,0.0015238429564149003,Timor-Leste,51.8,East Asia & Pacific,Timor-Leste,"Population, female",376023.0
543,Tonga,1991,0.008568322782786622,Tonga,69.7,East Asia & Pacific,Tonga,"Population, female",46917.0
544,Trinidad and Tobago,1991,0.00436351839085121,Trinidad and Tobago,70.2,Latin America & Caribbean,Trinidad and Tobago,"Population, female",616475.0
545,Tunisia,1991,0.0008253890632838954,Tunisia,72.4,Middle East & North Africa,Tunisia,"Population, female",4179847.0
546,Turkey,1991,0.002258261888938464,Turkey,69.2,Europe & Central Asia,Turkey,"Population, female",27764716.0
547,Tanzania,1991,0.003483332293171607,Tanzania,51.7,Sub-Saharan Africa,Tanzania,"Population, female",13090913.0
548,Uganda,1991,0.0032390242953353405,Uganda,48.3,Sub-Saharan Africa,Uganda,"Population, female",9045934.0
549,Ukraine,1991,0.0025832057590665577,Ukraine,73.8,Europe & Central Asia,Ukraine,"Population, female",27794921.0
550,Uruguay,1991,0.0018779028473469512,Uruguay,76.8,Latin America & Caribbean,Uruguay,"Population, female",1613502.0
551,United States,1991,0.003101326340359324,United States,78.9,North America,United States,"Population, female",128977075.0
552,Uzbekistan,1991,0.0022502039601887867,Uzbekistan,69.4,Europe & Central Asia,Uzbekistan,"Population, female",10576819.0
553,St. Vincent and the Grenadines,1991,0.0033840008876067904,St. Vincent and the Grenadines,72.1,Latin America & Caribbean,St. Vincent and the Grenadines,"Population, female",54078.0
554,"Venezuela, RB",1991,0.0033075627422100634,"Venezuela, RB",74.2,Latin America & Caribbean,"Venezuela, RB","Population, female",9977135.0
555,Vietnam,1991,0.004649062255621186,Vietnam,75.8,East Asia & Pacific,Vietnam,"Population, female",35060834.0
556,Vanuatu,1991,0.0023607112154251327,Vanuatu,66.5,East Asia & Pacific,Vanuatu,"Population, female",73283.0
557,"Yemen, Rep.",1991,0.0016615668930699433,"Yemen, Rep.",59.6,Middle East & North Africa,"Yemen, Rep.","Population, female",6198968.0
558,South Africa,1991,0.0026630129707678014,South Africa,66.6,Sub-Saharan Africa,South Africa,"Population, female",19001034.0
559,Zambia,1991,0.0037934323846047532,Zambia,48.5,Sub-Saharan Africa,Zambia,"Population, female",4138732.0
560,Zimbabwe,1991,0.005902120499702939,Zimbabwe,58.6,Sub-Saharan Africa,Zimbabwe,"Population, female",5370951.0
561,Afghanistan,1992,0.0021781061608942822,Afghanistan,53.4,South Asia,Afghanistan,"Population, female",7024451.0
562,Angola,1992,0.0027508163521803774,Angola,47.1,Sub-Saharan Africa,Angola,"Population, female",6325395.0
563,Albania,1992,0.005321983081434414,Albania,75.0,Europe & Central Asia,Albania,"Population, female",1610302.0
564,United Arab Emirates,1992,0.0009903508671643667,United Arab Emirates,74.2,Middle East & North Africa,United Arab Emirates,"Population, female",699752.0
565,Argentina,1992,0.00423600337904072,Argentina,75.7,Latin America & Caribbean,Argentina,"Population, female",17209618.0
566,Armenia,1992,0.006991489399783432,Armenia,71.6,Europe & Central Asia,Armenia,"Population, female",1787888.0
569,Antigua and Barbuda,1992,0.005098827269727962,Antigua and Barbuda,73.9,Latin America & Caribbean,Antigua and Barbuda,"Population, female",33341.0
570,Australia,1992,0.0016394946986255795,Australia,80.8,East Asia & Pacific,Australia,"Population, female",8783194.0
571,Austria,1992,0.0050040793058262695,Austria,79.4,Europe & Central Asia,Austria,"Population, female",4076674.0
572,Azerbaijan,1992,0.004635710013292567,Azerbaijan,69.1,Europe & Central Asia,Azerbaijan,"Population, female",3775042.0
573,Burundi,1992,0.003686924305721142,Burundi,48.3,Sub-Saharan Africa,Burundi,"Population, female",2902148.0
574,Belgium,1992,0.005029947684644895,Belgium,79.8,Europe & Central Asia,Belgium,"Population, female",5129278.0
575,Benin,1992,0.00685236452380647,Benin,56.7,Sub-Saharan Africa,Benin,"Population, female",2728985.0
576,Burkina Faso,1992,0.007389462794475882,Burkina Faso,50.5,Sub-Saharan Africa,Burkina Faso,"Population, female",4750007.0
577,Bangladesh,1992,0.0009134863280240349,Bangladesh,60.6,South Asia,Bangladesh,"Population, female",52327001.0
578,Bulgaria,1992,0.007023204437191483,Bulgaria,74.7,Europe & Central Asia,Bulgaria,"Population, female",4342747.0
579,Bahrain,1992,0.0018164357996394306,Bahrain,74.2,Middle East & North Africa,Bahrain,"Population, female",220762.0
580,"Bahamas, The",1992,0.003497077069911716,"Bahamas, The",74.6,Latin America & Caribbean,"Bahamas, The","Population, female",134112.0
581,Bosnia and Herzegovina,1992,0.0037922482341323795,Bosnia and Herzegovina,74.5,Europe & Central Asia,Bosnia and Herzegovina,"Population, female",2143847.0
582,Belarus,1992,0.0024519243089122286,Belarus,74.6,Europe & Central Asia,Belarus,"Population, female",5424311.0
583,Belize,1992,0.005323178134501043,Belize,72.9,Latin America & Caribbean,Belize,"Population, female",96371.0
584,Bolivia,1992,0.004524392235018852,Bolivia,59.6,Latin America & Caribbean,Bolivia,"Population, female",3558489.0
585,Brazil,1992,0.002718480895353714,Brazil,71.1,Latin America & Caribbean,Brazil,"Population, female",77616878.0
586,Barbados,1992,0.0069759253553980894,Barbados,77.3,Latin America & Caribbean,Barbados,"Population, female",136326.0
587,Brunei Darussalam,1992,0.0026163463764760364,Brunei Darussalam,72.6,East Asia & Pacific,Brunei Darussalam,"Population, female",129570.0
588,Bhutan,1992,0.0009767089522681566,Bhutan,55.4,South Asia,Bhutan,"Population, female",260057.0
589,Botswana,1992,0.00192868646597065,Botswana,60.1,Sub-Saharan Africa,Botswana,"Population, female",710328.0
590,Central African Republic,1992,0.004242983756765794,Central African Republic,49.7,Sub-Saharan Africa,Central African Republic,"Population, female",1501302.0
591,Canada,1992,0.002277562488350198,Canada,80.9,North America,Canada,"Population, female",14313548.0
592,Switzerland,1992,0.003069847559329068,Switzerland,81.4,Europe & Central Asia,Switzerland,"Population, female",3518090.0
593,Chile,1992,0.00391210741357252,Chile,77.4,Latin America & Caribbean,Chile,"Population, female",6978336.0
594,China,1992,0.014650282472431317,China,71.6,East Asia & Pacific,China,"Population, female",567224558.0
595,Cote d'Ivoire,1992,0.0036913432147501523,Cote d'Ivoire,54.4,Sub-Saharan Africa,Cote d'Ivoire,"Population, female",6149523.0
596,Cameroon,1992,0.00875483485755008,Cameroon,53.9,Sub-Saharan Africa,Cameroon,"Population, female",6282243.0
597,"Congo, Dem. Rep.",1992,0.0032452958166548688,"Congo, Dem. Rep.",50.7,Sub-Saharan Africa,"Congo, Dem. Rep.","Population, female",18888879.0
598,"Congo, Rep.",1992,0.005033309128147102,"Congo, Rep.",56.2,Sub-Saharan Africa,"Congo, Rep.","Population, female",1265569.0
599,Colombia,1992,0.0037362823224181634,Colombia,74.3,Latin America & Caribbean,Colombia,"Population, female",17477266.0
600,Comoros,1992,0.0031778004654029047,Comoros,59.6,Sub-Saharan Africa,Comoros,"Population, female",217446.0
601,Cabo Verde,1992,0.003971260754378328,Cabo Verde,67.2,Sub-Saharan Africa,Cabo Verde,"Population, female",186087.0
602,Costa Rica,1992,0.003743932194998205,Costa Rica,78.8,Latin America & Caribbean,Costa Rica,"Population, female",1631974.0
603,Cuba,1992,0.006194034473160055,Cuba,76.9,Latin America & Caribbean,Cuba,"Population, female",5359996.0
604,Cyprus,1992,0.0021252533226058645,Cyprus,79.1,Europe & Central Asia,Cyprus,"Population, female",395247.0
605,Czech Republic,1992,0.006442916606617553,Czech Republic,76.4,Europe & Central Asia,Czech Republic,"Population, female",5308155.0
606,Germany,1992,0.0042279248333579045,Germany,79.3,Europe & Central Asia,Germany,"Population, female",41627987.0
607,Djibouti,1992,0.0024633926117850276,Djibouti,58.7,Middle East & North Africa,Djibouti,"Population, female",305676.0
608,Denmark,1992,0.003932606577456314,Denmark,78.0,Europe & Central Asia,Denmark,"Population, female",2619128.0
609,Dominican Republic,1992,0.0032578843516212863,Dominican Republic,70.4,Latin America & Caribbean,Dominican Republic,"Population, female",3683372.0
610,Algeria,1992,0.0009667522654602798,Algeria,69.5,Middle East & North Africa,Algeria,"Population, female",13343646.0
611,Ecuador,1992,0.004221618853862377,Ecuador,72.8,Latin America & Caribbean,Ecuador,"Population, female",5329709.0
612,"Egypt, Arab Rep.",1992,0.003429052005311327,"Egypt, Arab Rep.",68.3,Middle East & North Africa,"Egypt, Arab Rep.","Population, female",29162579.0
613,Eritrea,1992,0.003600240605760385,Eritrea,52.9,Sub-Saharan Africa,Eritrea,"Population, female",1130480.0
614,Spain,1992,0.007555698507814593,Spain,81.4,Europe & Central Asia,Spain,"Population, female",19984916.0
615,Estonia,1992,0.003382912748940244,Estonia,74.3,Europe & Central Asia,Estonia,"Population, female",818821.0
616,Ethiopia,1992,0.003463997544712334,Ethiopia,49.9,Sub-Saharan Africa,Ethiopia,"Population, female",25779464.0
617,Finland,1992,0.0037115701060421048,Finland,79.7,Europe & Central Asia,Finland,"Population, female",2591895.0
618,Fiji,1992,0.0027587939973012987,Fiji,67.2,East Asia & Pacific,Fiji,"Population, female",366102.0
619,France,1992,0.003903778864557466,France,81.6,Europe & Central Asia,France,"Population, female",30227122.0
620,"Micronesia, Fed. Sts.",1992,0.0031508786103817414,"Micronesia, Fed. Sts.",65.4,East Asia & Pacific,"Micronesia, Fed. Sts.","Population, female",49510.0
621,Gabon,1992,0.007782482553124756,Gabon,61.9,Sub-Saharan Africa,Gabon,"Population, female",510120.0
622,United Kingdom,1992,0.0030143514217398,United Kingdom,79.0,Europe & Central Asia,United Kingdom,"Population, female",29591772.0
623,Georgia,1992,0.005665332773832883,Georgia,73.8,Europe & Central Asia,Georgia,"Population, female",2559426.0
624,Ghana,1992,0.005549794728416095,Ghana,58.7,Sub-Saharan Africa,Ghana,"Population, female",7766053.0
625,Guinea,1992,0.008793734507129801,Guinea,52.0,Sub-Saharan Africa,Guinea,"Population, female",3491122.0
626,"Gambia, The",1992,0.008492461725621583,"Gambia, The",54.4,Sub-Saharan Africa,"Gambia, The","Population, female",514574.0
627,Guinea-Bissau,1992,0.009638499353954916,Guinea-Bissau,51.1,Sub-Saharan Africa,Guinea-Bissau,"Population, female",527053.0
628,Equatorial Guinea,1992,0.004265163661698831,Equatorial Guinea,51.7,Sub-Saharan Africa,Equatorial Guinea,"Population, female",223907.0
629,Greece,1992,0.014639354631590239,Greece,80.1,Europe & Central Asia,Greece,"Population, female",5239302.0
630,Grenada,1992,0.006866900317874318,Grenada,73.1,Latin America & Caribbean,Grenada,"Population, female",49076.0
631,Guatemala,1992,0.00417456406958936,Guatemala,67.1,Latin America & Caribbean,Guatemala,"Population, female",4814874.0
632,Guam,1992,0.0024268446352732533,Guam,75.2,East Asia & Pacific,Guam,"Population, female",64281.0
633,Guyana,1992,0.0032591097373788347,Guyana,67.2,Latin America & Caribbean,Guyana,"Population, female",380472.0
634,Honduras,1992,0.004053699777690558,Honduras,70.4,Latin America & Caribbean,Honduras,"Population, female",2639564.0
635,Croatia,1992,0.006149153876426604,Croatia,76.7,Europe & Central Asia,Croatia,"Population, female",2358048.0
636,Haiti,1992,0.0033612668049895185,Haiti,57.0,Latin America & Caribbean,Haiti,"Population, female",3718836.0
637,Hungary,1992,0.00794494026756855,Hungary,74.2,Europe & Central Asia,Hungary,"Population, female",5399663.0
638,Indonesia,1992,0.0019236200580223654,Indonesia,64.9,East Asia & Pacific,Indonesia,"Population, female",93573572.0
639,India,1992,0.0007800625849015771,India,59.9,South Asia,India,"Population, female",437144412.0
640,Ireland,1992,0.0026200795297487965,Ireland,78.2,Europe & Central Asia,Ireland,"Population, female",1790022.0
641,"Iran, Islamic Rep.",1992,0.0023426368407928385,"Iran, Islamic Rep.",67.8,Middle East & North Africa,"Iran, Islamic Rep.","Population, female",28813685.0
642,Iraq,1992,0.001775628317588881,Iraq,70.7,Middle East & North Africa,Iraq,"Population, female",9123531.0
643,Iceland,1992,0.001907310845523203,Iceland,80.8,Europe & Central Asia,Iceland,"Population, female",130026.0
644,Israel,1992,0.003077324272366094,Israel,79.2,Middle East & North Africa,Israel,"Population, female",2576914.0
645,Italy,1992,0.010308636112987993,Italy,80.8,Europe & Central Asia,Italy,"Population, female",29198819.0
646,Jamaica,1992,0.0035130637043572412,Jamaica,74.9,Latin America & Caribbean,Jamaica,"Population, female",1246775.0
647,Jordan,1992,0.0008549832328288229,Jordan,72.0,Middle East & North Africa,Jordan,"Population, female",1894774.0
648,Japan,1992,0.011989533723073953,Japan,82.6,East Asia & Pacific,Japan,"Population, female",63138402.0
649,Kazakhstan,1992,0.005898220356803325,Kazakhstan,70.1,Europe & Central Asia,Kazakhstan,"Population, female",8460179.0
650,Kenya,1992,0.001140334072269812,Kenya,57.8,Sub-Saharan Africa,Kenya,"Population, female",12715572.0
651,Kyrgyz Republic,1992,0.0037297662360297155,Kyrgyz Republic,70.2,Europe & Central Asia,Kyrgyz Republic,"Population, female",2295050.0
652,Cambodia,1992,0.002296823774785549,Cambodia,56.8,East Asia & Pacific,Cambodia,"Population, female",4963376.0
653,Kiribati,1992,0.005696420528309884,Kiribati,63.4,East Asia & Pacific,Kiribati,"Population, female",37743.0
654,"Korea, Rep.",1992,0.012106469798347485,"Korea, Rep.",77.2,East Asia & Pacific,"Korea, Rep.","Population, female",21806522.0
656,Lao PDR,1992,0.002802498887439031,Lao PDR,56.4,East Asia & Pacific,Lao PDR,"Population, female",2251562.0
657,Lebanon,1992,0.0020734730673878745,Lebanon,72.7,Middle East & North Africa,Lebanon,"Population, female",1552950.0
658,Liberia,1992,0.007569000077477953,Liberia,48.5,Sub-Saharan Africa,Liberia,"Population, female",1006738.0
659,Libya,1992,0.0020897675280951338,Libya,71.3,Middle East & North Africa,Libya,"Population, female",2205987.0
660,St. Lucia,1992,0.003548065195697971,St. Lucia,73.4,Latin America & Caribbean,St. Lucia,"Population, female",72152.0
661,Sri Lanka,1992,0.0009522682905681917,Sri Lanka,73.1,South Asia,Sri Lanka,"Population, female",8800041.0
662,Lesotho,1992,0.0021865242503496325,Lesotho,62.3,Sub-Saharan Africa,Lesotho,"Population, female",946708.0
663,Lithuania,1992,0.0024961391851310065,Lithuania,75.4,Europe & Central Asia,Lithuania,"Population, female",1951013.0
664,Luxembourg,1992,0.005351525184677633,Luxembourg,79.3,Europe & Central Asia,Luxembourg,"Population, female",199943.0
665,Latvia,1992,0.0033713394717425323,Latvia,73.8,Europe & Central Asia,Latvia,"Population, female",1400037.0
666,Morocco,1992,0.0005971275682398548,Morocco,67.8,Middle East & North Africa,Morocco,"Population, female",12895067.0
667,Moldova,1992,0.0035071649581548976,Moldova,70.8,Europe & Central Asia,Moldova,"Population, female",1556813.0
668,Madagascar,1992,0.0024333742140201287,Madagascar,54.3,Sub-Saharan Africa,Madagascar,"Population, female",6164280.0
669,Maldives,1992,0.0008717643301656353,Maldives,64.7,South Asia,Maldives,"Population, female",115857.0
670,Mexico,1992,0.004150718532472863,Mexico,74.8,Latin America & Caribbean,Mexico,"Population, female",44088752.0
671,North Macedonia,1992,0.006276290176847867,North Macedonia,73.9,Europe & Central Asia,North Macedonia,"Population, female",989438.0
672,Mali,1992,0.011045068789580953,Mali,47.2,Sub-Saharan Africa,Mali,"Population, female",4481638.0
673,Malta,1992,0.0023975413133377316,Malta,79.9,Middle East & North Africa,Malta,"Population, female",186441.0
674,Myanmar,1992,0.006433120793744177,Myanmar,61.1,East Asia & Pacific,Myanmar,"Population, female",21762377.0
675,Montenegro,1992,0.0054027504911591355,Montenegro,77.7,Europe & Central Asia,Montenegro,"Population, female",305400.0
676,Mongolia,1992,0.0188554229606186,Mongolia,63.5,East Asia & Pacific,Mongolia,"Population, female",1134952.0
677,Mozambique,1992,0.0074408569433015,Mozambique,48.1,Sub-Saharan Africa,Mozambique,"Population, female",7230350.0
678,Mauritania,1992,0.0076296296296296294,Mauritania,61.8,Sub-Saharan Africa,Mauritania,"Population, female",1080000.0
679,Mauritius,1992,0.0024478903050660287,Mauritius,74.0,Sub-Saharan Africa,Mauritius,"Population, female",543325.0
680,Malawi,1992,0.0017120289488531352,Malawi,48.6,Sub-Saharan Africa,Malawi,"Population, female",4883095.0
681,Malaysia,1992,0.002594128821864604,Malaysia,73.5,East Asia & Pacific,Malaysia,"Population, female",9328758.0
682,Namibia,1992,0.0006657501463886555,Namibia,63.4,Sub-Saharan Africa,Namibia,"Population, female",785580.0
683,Niger,1992,0.005173524830057721,Niger,46.0,Sub-Saharan Africa,Niger,"Population, female",4368395.0
684,Nigeria,1992,0.006511230596658425,Nigeria,47.1,Sub-Saharan Africa,Nigeria,"Population, female",49760179.0
685,Nicaragua,1992,0.002943530546851649,Nicaragua,69.1,Latin America & Caribbean,Nicaragua,"Population, female",2201438.0
686,Netherlands,1992,0.002190265780930138,Netherlands,80.2,Europe & Central Asia,Netherlands,"Population, female",7670302.0
687,Norway,1992,0.002321049612781554,Norway,80.4,Europe & Central Asia,Norway,"Population, female",2167123.0
688,Nepal,1992,0.0009351164762400563,Nepal,57.7,South Asia,Nepal,"Population, female",9955979.0
689,New Zealand,1992,0.00203565690090478,New Zealand,79.2,East Asia & Pacific,New Zealand,"Population, female",1793033.0
690,Oman,1992,0.0012826298662739603,Oman,71.0,Middle East & North Africa,Oman,"Population, female",842020.0
691,Pakistan,1992,0.0017897069890989183,Pakistan,61.7,South Asia,Pakistan,"Population, female",54925192.0
692,Panama,1992,0.002784313725490196,Panama,76.6,Latin America & Caribbean,Panama,"Population, female",1275000.0
693,Peru,1992,0.004358382043812571,Peru,70.0,Latin America & Caribbean,Peru,"Population, female",11540980.0
694,Philippines,1992,0.0014072110214506798,Philippines,70.9,East Asia & Pacific,Philippines,"Population, female",32191334.0
695,Papua New Guinea,1992,0.0021162302660475887,Papua New Guinea,59.0,East Asia & Pacific,Papua New Guinea,"Population, female",2376868.0
696,Poland,1992,0.0044996848189166345,Poland,75.8,Europe & Central Asia,Poland,"Population, female",19690268.0
697,Puerto Rico,1992,0.005821484187393576,Puerto Rico,78.7,Latin America & Caribbean,Puerto Rico,"Population, female",1855197.0
698,"Korea, Dem. People's Rep.",1992,0.011909845078037865,"Korea, Dem. People's Rep.",72.1,East Asia & Pacific,"Korea, Dem. People's Rep.","Population, female",10747411.0
699,Portugal,1992,0.004805053366123947,Portugal,78.6,Europe & Central Asia,Portugal,"Population, female",5161233.0
700,Paraguay,1992,0.0019152964696525835,Paraguay,71.2,Latin America & Caribbean,Paraguay,"Population, female",2192872.0
702,Qatar,1992,0.0021520586617338583,Qatar,77.6,Middle East & North Africa,Qatar,"Population, female",165423.0
703,Romania,1992,0.0035614207198789603,Romania,73.2,Europe & Central Asia,Romania,"Population, female",11568417.0
704,Russian Federation,1992,0.004575674623650762,Russian Federation,72.8,Europe & Central Asia,Russian Federation,"Population, female",78895470.0
705,Rwanda,1992,0.0025529674802943735,Rwanda,27.6,Sub-Saharan Africa,Rwanda,"Population, female",3411716.0
706,Saudi Arabia,1992,0.0034403961865703218,Saudi Arabia,72.5,Middle East & North Africa,Saudi Arabia,"Population, female",7615402.0
707,Sudan,1992,0.0019324496952831953,Sudan,57.8,Sub-Saharan Africa,Sudan,"Population, female",10815288.0
708,Senegal,1992,0.0061249337087967495,Senegal,59.1,Sub-Saharan Africa,Senegal,"Population, female",4016370.0
709,Singapore,1992,0.005247958226002915,Singapore,79.1,East Asia & Pacific,Singapore,"Population, female",1602528.0
710,Solomon Islands,1992,0.0025914159347162524,Solomon Islands,66.1,East Asia & Pacific,Solomon Islands,"Population, female",160530.0
711,Sierra Leone,1992,0.005366514767011397,Sierra Leone,37.8,Sub-Saharan Africa,Sierra Leone,"Population, female",2198820.0
712,El Salvador,1992,0.0032712162122771012,El Salvador,70.9,Latin America & Caribbean,El Salvador,"Population, female",2778783.0
713,Somalia,1992,0.0031374569425316966,Somalia,47.3,Sub-Saharan Africa,Somalia,"Population, female",3633516.0
714,Serbia,1992,0.007356628980936522,Serbia,74.7,Europe & Central Asia,Serbia,"Population, female",3874057.0
715,South Sudan,1992,0.0025975233196123128,South Sudan,47.0,Sub-Saharan Africa,South Sudan,"Population, female",2667926.0
716,Sao Tome and Principe,1992,0.0009683308199063418,Sao Tome and Principe,60.2,Sub-Saharan Africa,Sao Tome and Principe,"Population, female",62995.0
717,Suriname,1992,0.004510384035270913,Suriname,71.0,Latin America & Caribbean,Suriname,"Population, female",206856.0
718,Slovak Republic,1992,0.00445019496267353,Slovak Republic,76.0,Europe & Central Asia,Slovak Republic,"Population, female",2718982.0
719,Slovenia,1992,0.003961722171335237,Slovenia,77.8,Europe & Central Asia,Slovenia,"Population, female",1027331.0
720,Sweden,1992,0.006681036595891003,Sweden,81.0,Europe & Central Asia,Sweden,"Population, female",4385547.0
721,Eswatini,1992,0.0022168763553674746,Eswatini,62.6,Sub-Saharan Africa,Eswatini,"Population, female",455596.0
722,Seychelles,1992,0.0016647855530474039,Seychelles,75.9,Sub-Saharan Africa,Seychelles,"Population, female",35440.0
723,Syrian Arab Republic,1992,0.0014788358493741257,Syrian Arab Republic,73.1,Middle East & North Africa,Syrian Arab Republic,"Population, female",6518641.0
724,Chad,1992,0.005966067134185596,Chad,48.5,Sub-Saharan Africa,Chad,"Population, female",3201439.0
725,Togo,1992,0.006792304319206339,Togo,56.3,Sub-Saharan Africa,Togo,"Population, female",2002266.0
726,Thailand,1992,0.01097893690953905,Thailand,73.8,East Asia & Pacific,Thailand,"Population, female",29146720.0
727,Tajikistan,1992,0.0024921641303177907,Tajikistan,61.0,Europe & Central Asia,Tajikistan,"Population, female",2768678.0
728,Turkmenistan,1992,0.0023418246346829275,Turkmenistan,66.7,Europe & Central Asia,Turkmenistan,"Population, female",1981361.0
729,Timor-Leste,1992,0.0015572147512581472,Timor-Leste,52.8,East Asia & Pacific,Timor-Leste,"Population, female",387872.0
730,Tonga,1992,0.0088088854844887,Tonga,69.8,East Asia & Pacific,Tonga,"Population, female",46998.0
731,Trinidad and Tobago,1992,0.0041916688968494775,Trinidad and Tobago,70.3,Latin America & Caribbean,Trinidad and Tobago,"Population, female",620278.0
732,Tunisia,1992,0.0008480007795985067,Tunisia,73.0,Middle East & North Africa,Tunisia,"Population, female",4268864.0
733,Turkey,1992,0.0023128161394756347,Turkey,69.7,Europe & Central Asia,Turkey,"Population, female",28233978.0
734,Tanzania,1992,0.0034993656845999565,Tanzania,51.5,Sub-Saharan Africa,Tanzania,"Population, female",13545312.0
735,Uganda,1992,0.003321945788621919,Uganda,47.9,Sub-Saharan Africa,Uganda,"Population, female",9361983.0
736,Ukraine,1992,0.0026527087045495248,Ukraine,73.6,Europe & Central Asia,Ukraine,"Population, female",27858317.0
737,Uruguay,1992,0.0018575938992187648,Uruguay,77.0,Latin America & Caribbean,Uruguay,"Population, female",1625759.0
738,United States,1992,0.0032129827268442116,United States,79.0,North America,United States,"Population, female",130719657.0
739,Uzbekistan,1992,0.0023115948488050533,Uzbekistan,69.4,Europe & Central Asia,Uzbekistan,"Population, female",10815044.0
740,St. Vincent and the Grenadines,1992,0.0034028702470779697,St. Vincent and the Grenadines,72.1,Latin America & Caribbean,St. Vincent and the Grenadines,"Population, female",54072.0
741,"Venezuela, RB",1992,0.003193179838027422,"Venezuela, RB",74.4,Latin America & Caribbean,"Venezuela, RB","Population, female",10209259.0
742,Vietnam,1992,0.004750409170905219,Vietnam,76.1,East Asia & Pacific,Vietnam,"Population, female",35786391.0
743,Vanuatu,1992,0.00239747801208011,Vanuatu,66.8,East Asia & Pacific,Vanuatu,"Population, female",75496.0
744,"Yemen, Rep.",1992,0.0016946995652017168,"Yemen, Rep.",59.8,Middle East & North Africa,"Yemen, Rep.","Population, female",6490826.0
745,South Africa,1992,0.0026038401721896953,South Africa,66.4,Sub-Saharan Africa,South Africa,"Population, female",19509646.0
746,Zambia,1992,0.0038873140685901256,Zambia,47.6,Sub-Saharan Africa,Zambia,"Population, female",4244576.0
747,Zimbabwe,1992,0.005831280995764122,Zimbabwe,57.0,Sub-Saharan Africa,Zimbabwe,"Population, female",5487645.0
748,Afghanistan,1993,0.0021859165194554426,Afghanistan,54.0,South Asia,Afghanistan,"Population, female",7639816.0
749,Angola,1993,0.0028291173368004546,Angola,47.1,Sub-Saharan Africa,Angola,"Population, female",6539142.0
750,Albania,1993,0.005515965380515038,Albania,75.2,Europe & Central Asia,Albania,"Population, female",1617124.0
751,United Arab Emirates,1993,0.0009879089712447925,United Arab Emirates,74.4,Middle East & North Africa,United Arab Emirates,"Population, female",736910.0
752,Argentina,1993,0.004243890174545468,Argentina,75.9,Latin America & Caribbean,Argentina,"Population, female",17436832.0
753,Armenia,1993,0.00695231170062662,Armenia,72.0,Europe & Central Asia,Armenia,"Population, female",1754812.0
756,Antigua and Barbuda,1993,0.005127754336615096,Antigua and Barbuda,74.1,Latin America & Caribbean,Antigua and Barbuda,"Population, female",34128.0
757,Australia,1993,0.001746583766664522,Australia,81.0,East Asia & Pacific,Australia,"Population, female",8874467.0
758,Austria,1993,0.005093635149494536,Austria,79.7,Europe & Central Asia,Austria,"Population, female",4103160.0
759,Azerbaijan,1993,0.0046954529233889895,Azerbaijan,69.3,Europe & Central Asia,Azerbaijan,"Population, female",3833496.0
760,Burundi,1993,0.0036457185255499044,Burundi,48.2,Sub-Saharan Africa,Burundi,"Population, female",2962379.0
761,Belgium,1993,0.005068941488489812,Belgium,80.0,Europe & Central Asia,Belgium,"Population, female",5149004.0
